English,Vietnamese,Description,Categories
airport,sân bay,where planes depart,At the Airport
passport,hộ chiếu,travel document,At the Airport
ticket,vé,boarding ticket,At the Airport
luggage,hành lý,your bags,At the Airport
flight,chuyến bay,a plane journey,At the Airport
boarding pass,thẻ lên máy bay,to board the plane,At the Airport
gate,cổng,boarding gate,At the Airport
delay,hoãn,flight is late,At the Airport
to check in,làm thủ tục,register for a flight,At the Airport
arrival,đến,reaching a place,At the Airport
departure,khởi hành,leaving,At the Airport
hotel,khách sạn,place to stay,At the Airport
