English,Vietnamese,Description,Categories
family,gia đình,the family unit,Family & Relationships
father,bố,dad (northern),Family & Relationships
mother,mẹ,mom,Family & Relationships
older brother,anh,elder male sibling,Family & Relationships
older sister,chị,elder female sibling,Family & Relationships
younger sibling,em,younger brother or sister,Family & Relationships
child,con,son or daughter,Family & Relationships
grandfather,ông,grandpa,Family & Relationships
grandmother,bà,grandma,Family & Relationships
friend,bạn,a friend,Family & Relationships
husband,chồng,married man,Family & Relationships
wife,vợ,married woman,Family & Relationships
