English,Vietnamese,Description,Categories
vegetables,rau,green vegetables,Food & Groceries
fruit,trái cây,fresh fruit,Food & Groceries
meat,thịt,general meat,Food & Groceries
chicken,thịt gà,chicken meat,Food & Groceries
beef,thịt bò,beef meat,Food & Groceries
pork,thịt heo,pork meat (southern),Food & Groceries
fish,cá,fresh fish,Food & Groceries
egg,trứng,a hen's egg,Food & Groceries
bread,bánh mì,also the famous sandwich,Food & Groceries
salt,muối,seasoning,Food & Groceries
sugar,đường,sweetener,Food & Groceries
milk,sữa,dairy milk,Food & Groceries
