English,Vietnamese,Description,Categories
hello,xin chào,a polite greeting,Greetings & Introductions
goodbye,tạm biệt,when leaving,Greetings & Introductions
thank you,cảm ơn,showing gratitude,Greetings & Introductions
you're welcome,không có gì,reply to thanks,Greetings & Introductions
please,làm ơn,polite request,Greetings & Introductions
sorry,xin lỗi,apology or excuse me,Greetings & Introductions
yes,vâng,polite affirmative,Greetings & Introductions
no,không,negative,Greetings & Introductions
what is your name?,bạn tên là gì?,asking someone's name,Greetings & Introductions
nice to meet you,rất vui được gặp bạn,first meeting,Greetings & Introductions
how are you?,bạn khỏe không?,asking well-being,Greetings & Introductions
I'm fine,tôi khỏe,common reply,Greetings & Introductions
