English,Vietnamese,Description,Categories
one,một,number 1,Numbers & Counting
two,hai,number 2,Numbers & Counting
three,ba,number 3,Numbers & Counting
four,bốn,number 4,Numbers & Counting
five,năm,number 5,Numbers & Counting
six,sáu,number 6,Numbers & Counting
seven,bảy,number 7,Numbers & Counting
eight,tám,number 8,Numbers & Counting
nine,chín,number 9,Numbers & Counting
ten,mười,number 10,Numbers & Counting
hundred,trăm,number 100,Numbers & Counting
thousand,nghìn,number 1000,Numbers & Counting
