English,Vietnamese,Description,Categories
today,hôm nay,this day,Time & Calendar
tomorrow,ngày mai,the next day,Time & Calendar
yesterday,hôm qua,the previous day,Time & Calendar
now,bây giờ,at this moment,Time & Calendar
morning,buổi sáng,early part of day,Time & Calendar
afternoon,buổi chiều,after midday,Time & Calendar
evening,buổi tối,end of day,Time & Calendar
day,ngày,24 hours,Time & Calendar
week,tuần,seven days,Time & Calendar
month,tháng,part of a year,Time & Calendar
year,năm,twelve months,Time & Calendar
hour,giờ,unit of time,Time & Calendar
