English,Vietnamese,Description,Categories
the menu,thực đơn,what you order from,Restaurant & Dining
the bill,hóa đơn,what you pay,Restaurant & Dining
delicious,ngon,tastes great,Restaurant & Dining
water,nước,to drink,Restaurant & Dining
coffee,cà phê,popular in Vietnam,Restaurant & Dining
tea,trà,hot drink,Restaurant & Dining
rice,cơm,cooked rice,Restaurant & Dining
beer,bia,cold drink,Restaurant & Dining
spicy,cay,hot flavor,Restaurant & Dining
to eat,ăn,the verb to eat,Restaurant & Dining
to drink,uống,the verb to drink,Restaurant & Dining
waiter,phục vụ,serves your table,Restaurant & Dining
